Company_name,Company_info_url,IPO_category,IPO_open_date,IPO_close_date,IPO_list_date,IPO_face_value,IPO_issue_price,IPO_lot_size,IPO_issue_size,IPO_Broker_apply,IPO_Broker_neutral,IPO_Broker_avoid,IPO_Member_apply,IPO_Member_neutral,IPO_Member_avoid,IPO_day1_qib,IPO_day1_nii,IPO_day1_rtl,IPO_day2_qib,IPO_day2_nii,IPO_day2_rtl,IPO_day3_qib,IPO_day3_nii,IPO_day3_rtl,IPO_RHP_doc,IPO_gmp_link,IPO_day4_qib,IPO_day4_nii,IPO_day4_rtl
Anlon Healthcare Limited,https://www.chittorgarh.com/ipo/anlon-healthcare-ipo/2053/,EQ,2025-08-12,2025-08-14,2025-08-20,5,102,102,error,0.0,0.0,0.0,0.0,0.0,0.0,2.94,10.77,5.59,3.36,67.77,21.86,190.96,356.72,57.75,https://www.sebi.gov.in/filings/public-issues/aug-2025/regaal-resources-limited-rhp_95894.html,https://www.investorgain.com/chr-gmp/regaal-resources-ipo/2035,,,
Mangal Electrical Industries Limited,https://www.chittorgarh.com/ipo/mangal-electrical-ipo/2069/,EQ,2025-08-19,2025-08-21,2025-08-26,10,255,255,error,0.0,0.0,0.0,0.0,0.0,0.0,9.86,7.4,4.96,17.14,26.09,16.6,272.14,108.11,42.55,https://www.sebi.gov.in/filings/public-issues/aug-2025/patel-retail-limited-rhp_95942.html,https://www.investorgain.com/chr-gmp/patel-retail-ipo/2318,,,
Patel Retail Limited,https://www.chittorgarh.com/ipo/patel-retail-ipo/2318/,EQ,2025-10-09,2025-10-13,2025-10-16,1,485,485,error,5.0,0.0,0.0,1.0,0.0,0.0,0.27,0.49,1.43,2.22,1.92,4.16,137.09,102.7,37.4,https://nsearchives.nseindia.com/content/ipo/RHP_RUBICON.zip,https://www.investorgain.com/chr-gmp/rubicon-research-ipo/2254,,,
Vikram Solar Limited,https://www.chittorgarh.com/ipo/vikram-solar-ipo/2152/,EQ,2025-09-19,2025-09-23,2025-09-26,2,465,465,error,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.7,0.93,0.01,1.45,1.65,11.41,10.57,2.81,https://nsearchives.nseindia.com/content/ipo/RHP_SAATVIK.zip,https://www.investorgain.com/chr-gmp/saatvik-green-energy-ipo/2082,,,
Shreeji Shipping Global Limited,https://www.chittorgarh.com/ipo/shreeji-shipping-global-ipo/2018/,EQ,2025-09-23,2025-09-25,2025-09-30,10,423,423,error,15.0,0.0,0.0,0.0,0.0,0.0,0.01,1.91,1.2,1.13,6.18,3.03,189.49,51.43,9.46,https://nsearchives.nseindia.com/content/ipo/RHP_STYL.zip,https://www.investorgain.com/chr-gmp/seshaasai-technologies-ipo/2048,,,
Gem Aromatics Limited,https://www.chittorgarh.com/ipo/gem-aromatics-ipo/2032/,EQ,2025-07-25,2025-07-29,2025-08-01,10,199,199,error,10.0,1.0,0.0,0.0,0.0,0.0,0.01,1.09,1.84,0.05,7.53,6.61,117.33,151.17,29.73,https://www.bseindia.com/corporates/download/399417/IPO%20Open/RHP_20250721175932.pdf,https://www.investorgain.com/chr-gmp/shanti-gold-ipo/2008,,,
Regaal Resources Limited,https://www.chittorgarh.com/ipo/regaal-resources-ipo/2035/,EQ,2025-08-19,2025-08-21,2025-08-26,10,252,252,error,9.0,3.0,0.0,1.0,0.0,0.0,1.09,3.54,2.13,2.42,11.22,6.99,110.41,72.7,21.92,https://www.bseindia.com/corporates/download/388986/IPO%20Open/RHP_20250813124650.pdf,https://www.investorgain.com/chr-gmp/shreeji-shipping-global-ipo/2018,,,
BlueStone Jewellery & Lifestyle Limited,https://www.chittorgarh.com/ipo/bluestone-jewellery-ipo/2059/,EQ,,,,,,,,,,,,,,,,,,,,,,,,,,,
JSW Cement Limited,https://www.chittorgarh.com/ipo/jsw-cement-ipo/2230/,EQ,,,,,,,,,,,,,,,,,,,,,,,,,,,
All Time Plastics Limited,https://www.chittorgarh.com/ipo/all-time-plastics-ipo/2125/,EQ,,,,,,,,,,,,,,,,,,,,,,,,,,,
Highway Infrastructure Limited,https://www.chittorgarh.com/ipo/highway-infrastructure-ipo/2180/,EQ,,,,,,,,,,,,,,,,,,,,,,,,,,,
National Securities Depository Limited,https://www.chittorgarh.com/ipo/national-securities-depository-limited-nsdl-ipo/2448/,EQ,,,,,,,,,,,,,,,,,,,,,,,,,,,
M&B Engineering Limited,https://www.chittorgarh.com/ipo/mb-engineering-ipo/2049/,EQ,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sri Lotus Developers & Realty Limited,https://www.chittorgarh.com/ipo/sri-lotus-developers-and-realty-ipo/2027/,EQ,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aditya Infotech Limited,https://www.chittorgarh.com/ipo/aditya-infotech-ipo/2036/,EQ,,,,,,,,,,,,,,,,,,,,,,,,,,,
Laxmi India Finance Limited,https://www.chittorgarh.com/ipo/laxmi-india-finance-ipo/2030/,EQ,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shanti Gold International Limited,https://www.chittorgarh.com/ipo/shanti-gold-ipo/2008/,EQ,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brigade Hotel Ventures Limited,https://www.chittorgarh.com/ipo/brigade-hotel-ventures-ipo/2094/,EQ,,,,,,,,,,,,,,,,,,,,,,,,,,,
GNG Electronics Limited,https://www.chittorgarh.com/ipo/gng-electronics-ipo/2046/,EQ,,,,,,,,,,,,,,,,,,,,,,,,,,,
Indiqube Spaces Limited,https://www.chittorgarh.com/ipo/indiqube-spaces-ipo/2038/,EQ,,,,,,,,,,,,,,,,,,,,,,,,,,,
Anthem Biosciences Limited,https://www.chittorgarh.com/ipo/anthem-biosciences-ipo/2029/,EQ,,,,,,,,,,,,,,,,,,,,,,,,,,,
Smartworks Coworking Spaces Limited,https://www.chittorgarh.com/ipo/smartworks-coworking-ipo/2034/,EQ,,,,,,,,,,,,,,,,,,,,,,,,,,,
Travel Food Services Limited,https://www.chittorgarh.com/ipo/travel-food-services-ipo/2054/,EQ,,,,,,,,,,,,,,,,,,,,,,,,,,,
Crizac Limited,https://www.chittorgarh.com/ipo/crizac-ipo/2096/,EQ,,,,,,,,,,,,,,,,,,,,,,,,,,,
Indogulf Cropsciences Limited,https://www.chittorgarh.com/ipo/indogulf-cropsciences-ipo/2074/,EQ,,,,,,,,,,,,,,,,,,,,,,,,,,,
HDB Financial Services Limited,https://www.chittorgarh.com/ipo/hdb-financial-ipo/2110/,EQ,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sambhv Steel Tubes Limited,https://www.chittorgarh.com/ipo/sambhv-steel-tubes-ipo/2073/,EQ,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ellenbarrie Industrial Gases Limited,https://www.chittorgarh.com/ipo/ellenbarrie-industrial-gases-ipo/2189/,EQ,,,,,,,,,,,,,,,,,,,,,,,,,,,
Globe Civil Projects Limited,https://www.chittorgarh.com/ipo/globe-civil-projects-ipo/2149/,EQ,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kalpataru Limited,https://www.chittorgarh.com/ipo/kalpataru-ipo/2229/,EQ,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arisinfra Solutions Limited,https://www.chittorgarh.com/ipo/arisinfra-solutions-ipo/1971/,EQ,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oswal Pumps Limited,https://www.chittorgarh.com/ipo/oswal-pumps-ipo/2202/,EQ,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scoda Tubes Limited,https://www.chittorgarh.com/ipo/scoda-tubes-ipo/2172/,EQ,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prostarm Info Systems Limited,https://www.chittorgarh.com/ipo/prostarm-info-systems-ipo/2016/,EQ,,,,,,,,,,,,,,,,,,,,,,,,,,,
